gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Ilf3,2267.376205,-0.06911703,0.077339751,-0.893680538,0.371492841,0.650648792
Ddx10,846.916012,0.089599516,0.100257672,0.893692366,0.371486511,0.650648792
Fancl,173.3783796,-0.161391852,0.180577079,-0.893756026,0.371452442,0.650648792
AC124108.1,63.13714715,0.260760784,0.291791979,0.89365302,0.371507569,0.650648792
Fam210a,862.7682114,-0.088289164,0.098747776,-0.894087619,0.371275013,0.650539502
Spata7,464.8422966,-0.105849343,0.118373436,-0.894198447,0.371215723,0.650539502
Gm4202,204.0907278,-0.157668492,0.176340638,-0.894113196,0.37126133,0.650539502
Gtse1,68.22398128,-0.30146644,0.337152944,-0.894153367,0.371239839,0.650539502
Dctn2,3871.828152,-0.068480125,0.076516163,-0.894975945,0.370799947,0.650343325
Jak2,1524.471821,-0.086101657,0.096210941,-0.894925834,0.370826736,0.650343325
Clpx,715.8524918,-0.100713423,0.112558818,-0.894762622,0.370913995,0.650343325
Garem2,174.4880786,-0.197672349,0.220958017,-0.894614966,0.370992949,0.650343325
Ddx59,134.0155138,-0.181166078,0.202382601,-0.895166267,0.370698214,0.650343325
Kcnk4,123.4446584,0.186980119,0.208997866,0.894650853,0.370973759,0.650343325
Gm37795,57.76464753,-0.273311431,0.305354926,-0.895061477,0.370754225,0.650343325
Grwd1,379.4486717,0.125536866,0.14020541,0.895378189,0.370584956,0.650224384
Tmem165,764.4715029,0.093267527,0.104121981,0.895752523,0.370384952,0.649962287
Mfsd11,743.9249555,-0.096772918,0.108037163,-0.895737313,0.370393077,0.649962287
Adra1d,153.5378198,0.172389165,0.192438446,0.895814578,0.370351803,0.649962287
Nom1,785.5499272,0.093763593,0.104635208,0.896099839,0.370199443,0.649947454
Sav1,240.6142462,0.147558489,0.164687314,0.895991833,0.370257125,0.649947454
Zfp945,654.4929944,0.09668102,0.107835911,0.896556806,0.369955455,0.64964161
Sgta,2766.968832,-0.071308862,0.079489179,-0.897088924,0.369671469,0.649292037
Fignl2,54.17591991,0.277302091,0.309099843,0.897127891,0.369650677,0.649292037
Sept7,9145.118813,0.071844388,0.080055223,0.897435358,0.369486652,0.649129897
