"mouse_gene","human_gene"
"Siae","SIAE"
"St6gal1","ST6GAL1"
"Ccne1","CCNE1"
"AC124557.1","AC124557.1"
"Gbp5","GBP5"
"Gm30524","GM30524"
"Usp13","USP13"
"Gm42635","GM42635"
"Klf8","KLF8"
"Hcn2","HCN2"
"Slc39a13","SLC39A13"
"Sytl2","SYTL2"
"Kcnq5","KCNQ5"
"Mtcl1","MTCL1"
"Gm47640","GM47640"
"2310022A10Rik","2310022A10RIK"
"Fbxw9","FBXW9"
"Gm5493","GM5493"
"Rnf182","RNF182"
"Igip","IGIP"
"Leng8","LENG8"
"Apbb1","APBB1"
"Sympk","SYMPK"
"Bbs1","BBS1"
"Shc1","SHC1"
"Dnajb5","DNAJB5"
"Gcn1l1","GCN1L1"
"Stk36","STK36"
"Srebf1","SREBF1"
"Gm17201","GM17201"
"Lingo4","LINGO4"
"Ghr","GHR"
"Vps37c","VPS37C"
"Sh3rf3","SH3RF3"
"Fam217b","FAM217B"
"Abca2","ABCA2"
"Gm42547","GM42547"
"Efnb1","EFNB1"
"Trim46","TRIM46"
"Pla2g7","PLA2G7"
"Rnf32","RNF32"
"Glb1l","GLB1L"
"Strn4","STRN4"
"Bcas1","BCAS1"
"Zfhx3","ZFHX3"
"Slc31a2","SLC31A2"
"Npy2r","NPY2R"
"Ntng2","NTNG2"
"Tgif2","TGIF2"
"Serpinf1","SERPINF1"
"Ripor2","RIPOR2"
"Gsn","GSN"
"Myh15","MYH15"
"1110032A03Rik","1110032A03RIK"
"Cplane1","CPLANE1"
"Gm10848","GM10848"
"Impg2","IMPG2"
"Cpne2","CPNE2"
"Ttll9","TTLL9"
"Ust","UST"
"Rgp1","RGP1"
"Gbx2","GBX2"
"Ift172","IFT172"
"Dpp9","DPP9"
"Fbxl20","FBXL20"
"Usp49","USP49"
"D630045J12Rik","D630045J12RIK"
"Cast","CAST"
"Sertad4","SERTAD4"
"Nfe2l1","NFE2L1"
"Snx19","SNX19"
"Tcf19","TCF19"
"Ankrd13b","ANKRD13B"
"Ncoa3","NCOA3"
"Slc38a7","SLC38A7"
"Zfp777","ZFP777"
"Fgfbp3","FGFBP3"
"Slitrk5","SLITRK5"
"Unc13a","UNC13A"
"Man1c1","MAN1C1"
"Epas1","EPAS1"
"Olfr277-ps1","OLFR277-PS1"
"Ahnak","AHNAK"
"Nek3","NEK3"
"Relb","RELB"
"Reep2","REEP2"
"Fam131b","FAM131B"
"Tnk2","TNK2"
"Gpr107","GPR107"
"Fhod3","FHOD3"
"Mnt","MNT"
"Ccdc157","CCDC157"
"Pou6f1","POU6F1"
"Tram2","TRAM2"
"Slc2a1","SLC2A1"
"Sf3a2","SF3A2"
"Smpd4","SMPD4"
"Gm26581","GM26581"
"Ccdc136","CCDC136"
"Akap1","AKAP1"
"Ulk2","ULK2"
"Sbno2","SBNO2"
"Zfp319","ZFP319"
"Clcn2","CLCN2"
"Atrn","ATRN"
"Gm13854","GM13854"
"Gm38056","GM38056"
"Garem1","GAREM1"
"Pgs1","PGS1"
"Nomo1","NOMO1"
"Elk3","ELK3"
"Sdk2","SDK2"
"Tcf7l1","TCF7L1"
"Fam184a","FAM184A"
"6530402F18Rik","6530402F18RIK"
"Dzip1l","DZIP1L"
"Mroh1","MROH1"
"Tshr","TSHR"
"Trim7","TRIM7"
"Eln","ELN"
"Plbd2","PLBD2"
"Upp1","UPP1"
"Pvt1","PVT1"
"4933412E12Rik","4933412E12RIK"
"Rasl10b","RASL10B"
"Ece1","ECE1"
"Castor2","CASTOR2"
"Tef","TEF"
"Ncln","NCLN"
"Gm12296","GM12296"
"Traf3ip1","TRAF3IP1"
"Kirrel3","KIRREL3"
"Pink1","PINK1"
"Nat8l","NAT8L"
"Atp13a2","ATP13A2"
"Epb41l1","EPB41L1"
"Zfhx2os","ZFHX2OS"
"Csnk1g1","CSNK1G1"
"Grin3b","GRIN3B"
"Klhl26","KLHL26"
"Cdt1","CDT1"
"Fam131a","FAM131A"
"Dnajb9","DNAJB9"
"Zfp949","ZFP949"
"Supt6","SUPT6"
"Gm4876","GM4876"
"Col5a2","COL5A2"
"Pde3a","PDE3A"
"Txlnb","TXLNB"
"Slc39a14","SLC39A14"
"Slc2a13","SLC2A13"
"Pitpnm2","PITPNM2"
"Man2b1","MAN2B1"
"Slc41a1","SLC41A1"
"Erc1","ERC1"
"E2f1","E2F1"
"Klc2","KLC2"
"Acsf2","ACSF2"
"Arhgef10","ARHGEF10"
"Gm37310","GM37310"
"Gm13067","GM13067"
"Gm37006","GM37006"
"Dab2ip","DAB2IP"
"Gpr82","GPR82"
"Sh2b1","SH2B1"
"Capn15","CAPN15"
"Pcdhga2","PCDHGA2"
"Por","POR"
"Gm44021","GM44021"
"Cdk12","CDK12"
"Gprin1","GPRIN1"
"Btbd11","BTBD11"
"C2cd2l","C2CD2L"
"Kcnh2","KCNH2"
"Nsmf","NSMF"
"Cep126","CEP126"
"Igfbp4","IGFBP4"
"2900026A02Rik","2900026A02RIK"
"Pdlim7","PDLIM7"
"Hdac7","HDAC7"
"Tmem108","TMEM108"
"Col27a1","COL27A1"
"Pnpla2","PNPLA2"
"Shc3","SHC3"
"Flrt1","FLRT1"
"Nrxn2","NRXN2"
"Irf1","IRF1"
"Fam13c","FAM13C"
"9930014A18Rik","9930014A18RIK"
"Gm49266","GM49266"
"Zfyve26","ZFYVE26"
"Ctsa","CTSA"
"Naaladl2","NAALADL2"
"Tmbim1","TMBIM1"
"Slc30a1","SLC30A1"
"Gabbr1","GABBR1"
"Lama5","LAMA5"
"Lypd6","LYPD6"
"Ube2h","UBE2H"
"Zfp503","ZFP503"
"2900035J10Rik","2900035J10RIK"
"Tsc22d3","TSC22D3"
"Tcp11l1","TCP11L1"
"Zer1","ZER1"
"Mfn2","MFN2"
"Gm33869","GM33869"
"Acot11","ACOT11"
"Nhsl1","NHSL1"
"Podxl","PODXL"
"Col4a5","COL4A5"
"Trim11","TRIM11"
"Gm26775","GM26775"
"Gaa","GAA"
"Zfp628","ZFP628"
"Prdm8","PRDM8"
"Greb1l","GREB1L"
"Irx5","IRX5"
"Emc1","EMC1"
"Naa60","NAA60"
"Gmpr","GMPR"
"Lancl3","LANCL3"
"Dnajc16","DNAJC16"
"Clip1","CLIP1"
"Tcirg1","TCIRG1"
"9130023H24Rik","9130023H24RIK"
"Mmp2","MMP2"
"Megf10","MEGF10"
"Fam234a","FAM234A"
"Add2","ADD2"
"Dsc1","DSC1"
"Patz1","PATZ1"
"Tlr3","TLR3"
"Nucb1","NUCB1"
"Pnpla7","PNPLA7"
"Slc16a9","SLC16A9"
"Ppm1h","PPM1H"
"Trappc9","TRAPPC9"
"A630081D01Rik","A630081D01RIK"
"Pik3r4","PIK3R4"
"Mapkbp1","MAPKBP1"
"Plxnd1","PLXND1"
"Zfp865","ZFP865"
"Celsr3","CELSR3"
"Sema3c","SEMA3C"
"Kat2a","KAT2A"
"D030034A15Rik","D030034A15RIK"
"Gm42528","GM42528"
"Slc27a4","SLC27A4"
"Edc4","EDC4"
"Pcdhgc5","PCDHGC5"
"Wdr81","WDR81"
"Hsdl2","HSDL2"
"Selenop","SELENOP"
"Cc2d1a","CC2D1A"
"Vstm2b","VSTM2B"
"Hexa","HEXA"
"Add1","ADD1"
"Dlg1","DLG1"
"S100a10","S100A10"
"Dagla","DAGLA"
"Tssc4","TSSC4"
"Pkn1","PKN1"
"Lasp1","LASP1"
"Slc26a6","SLC26A6"
"Nek6","NEK6"
"Otud1","OTUD1"
"Lrrn2","LRRN2"
"Fbxl17","FBXL17"
"Bcan","BCAN"
"Aplp1","APLP1"
"Gga1","GGA1"
"Mpp2","MPP2"
"Tpcn1","TPCN1"
"Atp10a","ATP10A"
"Atn1","ATN1"
"Gm43019","GM43019"
"Gm44913","GM44913"
"Ctnnd2","CTNND2"
"Bicra","BICRA"
"Gm18301","GM18301"
"Npdc1","NPDC1"
"Tm4sf1","TM4SF1"
"Slc5a12","SLC5A12"
"Cpxm1","CPXM1"
"Gm38273","GM38273"
"Rb1","RB1"
"Rgs17","RGS17"
"Ubqln4","UBQLN4"
"Gm43307","GM43307"
"Ogn","OGN"
"Itga5","ITGA5"
"Mpeg1","MPEG1"
"Phactr4","PHACTR4"
"Rusc2","RUSC2"
"Dmwd","DMWD"
"Gm37795","GM37795"
"Pard3","PARD3"
"Khsrp","KHSRP"
"Dop1b","DOP1B"
"Hmbox1","HMBOX1"
"Fam53c","FAM53C"
"Slc22a15","SLC22A15"
"Csrnp1","CSRNP1"
"Vcam1","VCAM1"
"Epha5","EPHA5"
"Lhx2","LHX2"
"Shank3","SHANK3"
"Ascc2","ASCC2"
"Prr5","PRR5"
"Phf21b","PHF21B"
"Efhd2","EFHD2"
"Parp8","PARP8"
"Tns2","TNS2"
"Mtmr4","MTMR4"
"Gm807","GM807"
"Cd93","CD93"
"Naf1","NAF1"
"Rhod","RHOD"
"Slc25a39","SLC25A39"
"Tprn","TPRN"
"Synpo2","SYNPO2"
"Chga","CHGA"
"Bcas3","BCAS3"
"Zcchc24","ZCCHC24"
"Amph","AMPH"
"Fam189a2","FAM189A2"
"S100a11","S100A11"
"Lgals9","LGALS9"
"Myc","MYC"
"Trim32","TRIM32"
"Ap1b1","AP1B1"
"H13","H13"
"Ptpn14","PTPN14"
"Myof","MYOF"
"Hivep1","HIVEP1"
"Kdm2a","KDM2A"
"Gpr137b","GPR137B"
"Dnm2","DNM2"
"Brsk2","BRSK2"
"Slc41a2","SLC41A2"
"Ecm1","ECM1"
"Il34","IL34"
"Slc45a4","SLC45A4"
"Fzd5","FZD5"
"Thra","THRA"
"A930004D18Rik","A930004D18RIK"
"Trim3","TRIM3"
"Gm37954","GM37954"
"Kif1b","KIF1B"
"Col28a1","COL28A1"
"Zbp1","ZBP1"
"Srpx2","SRPX2"
"Irgq","IRGQ"
"Celsr2","CELSR2"
"Gm37536","GM37536"
"Casq2","CASQ2"
"Il6ra","IL6RA"
"Naglu","NAGLU"
"Gm26772","GM26772"
"Tmem184b","TMEM184B"
"Syt13","SYT13"
"Cpt1a","CPT1A"
"Onecut2","ONECUT2"
"Cd200","CD200"
"Pogz","POGZ"
"Pde1c","PDE1C"
"Foxj2","FOXJ2"
"Ranbp10","RANBP10"
"Ppp1r26","PPP1R26"
"Grid1","GRID1"
"Slc36a1","SLC36A1"
"Tmem104","TMEM104"
"Ranbp9","RANBP9"
"Sv2a","SV2A"
"Ext1","EXT1"
"Nyap2","NYAP2"
"Asap2","ASAP2"
"4930544F09Rik","4930544F09RIK"
"Zfp710","ZFP710"
"Olfr1310","OLFR1310"
"Kazn","KAZN"
"Rnpepl1","RNPEPL1"
"Ccdc97","CCDC97"
"Syt11","SYT11"
"Gm15663","GM15663"
"4933432K03Rik","4933432K03RIK"
"Gm43164","GM43164"
"Meis3","MEIS3"
"Robo3","ROBO3"
"Ulbp1","ULBP1"
"Reln","RELN"
"Cramp1l","CRAMP1L"
"Reps2","REPS2"
"Kalrn","KALRN"
"Exoc6b","EXOC6B"
"Parm1","PARM1"
"Nfasc","NFASC"
"Dhx37","DHX37"
"Hgs","HGS"
"Clstn1","CLSTN1"
"Cntnap5a","CNTNAP5A"
"Glul","GLUL"
"Sox21","SOX21"
"Scrib","SCRIB"
"Ntm","NTM"
"Pml","PML"
"Atp1b2","ATP1B2"
"Abca7","ABCA7"
"Orai2","ORAI2"
"N4bp2","N4BP2"
"Erich3","ERICH3"
"Garem2","GAREM2"
"Peak1","PEAK1"
"Pafah2","PAFAH2"
"Med12","MED12"
"Got2","GOT2"
"Tmem94","TMEM94"
"Kmt2b","KMT2B"
"Plekhm1","PLEKHM1"
"Gm49268","GM49268"
"Dyrk1b","DYRK1B"
"Nckap5l","NCKAP5L"
"Apba1","APBA1"
"Taf4","TAF4"
"Tulp3","TULP3"
"Pdzd2","PDZD2"
"Map7d1","MAP7D1"
"Vasn","VASN"
"Il1r1","IL1R1"
"Zfp36l1","ZFP36L1"
"Ints3","INTS3"
"Cacnb1","CACNB1"
"Pdlim2","PDLIM2"
"Ttbk1","TTBK1"
"Slc8a3","SLC8A3"
"Ttll11","TTLL11"
"Arhgap31","ARHGAP31"
"Smurf1","SMURF1"
"Mtr","MTR"
"Npy1r","NPY1R"
"Sap130","SAP130"
"Gm43679","GM43679"
"Rgma","RGMA"
"Htt","HTT"
"March9","MARCH9"
"Sfmbt1","SFMBT1"
"Asic1","ASIC1"
"Grid2","GRID2"
"Tmem229b","TMEM229B"
"St3gal1","ST3GAL1"
"Fam110a","FAM110A"
"March1","MARCH1"
"Prkx","PRKX"
"Gpr68","GPR68"
"Tnfrsf1a","TNFRSF1A"
"Slc22a17","SLC22A17"
"Gm29488","GM29488"
"Slc25a42","SLC25A42"
"Tns3","TNS3"
"Miga2","MIGA2"
"Htr1b","HTR1B"
"Gns","GNS"
"Il6st","IL6ST"
"Afdn","AFDN"
"Grk3","GRK3"
"Npc1","NPC1"
"N4bp1","N4BP1"
"Rhpn1","RHPN1"
"Pi4ka","PI4KA"
"Akna","AKNA"
"Cyp4f17","CYP4F17"
"Ophn1","OPHN1"
"Nell2","NELL2"
"Sp2","SP2"
"Zfp946","ZFP946"
"Clcn7","CLCN7"
"Patl1","PATL1"
"Zdhhc1","ZDHHC1"
"Rab6b","RAB6B"
"Mtmr9","MTMR9"
"Pmaip1","PMAIP1"
"Oasl1","OASL1"
"Clic5","CLIC5"
"Cacnb3","CACNB3"
"Rhbdd2","RHBDD2"
"Ccdc86","CCDC86"
"Nptxr","NPTXR"
"Chd4","CHD4"
"Tnr","TNR"
"Ube2o","UBE2O"
"Galnt18","GALNT18"
"Tmem19","TMEM19"
"Cit","CIT"
"Ccdc92","CCDC92"
"Lamp1","LAMP1"
"Mgrn1","MGRN1"
"Atp6ap1","ATP6AP1"
"Fcho1","FCHO1"
"Usp35","USP35"
"Gadd45a","GADD45A"
"Smarcd1","SMARCD1"
"Tex261","TEX261"
"Efnb2","EFNB2"
"Os9","OS9"
"Lurap1","LURAP1"
"Kdm3b","KDM3B"
"Zfp687","ZFP687"
"Mcc","MCC"
"Osbpl2","OSBPL2"
"Zfp574","ZFP574"
"Mef2d","MEF2D"
"Adamts8","ADAMTS8"
"Unc5a","UNC5A"
"Jun","JUN"
"Phf21a","PHF21A"
"Bahcc1","BAHCC1"
"Snrk","SNRK"
"Lrig1","LRIG1"
"Tes","TES"
"Tfe3","TFE3"
"Arhgef4","ARHGEF4"
"Zmiz2","ZMIZ2"
"Zic2","ZIC2"
"Adm","ADM"
"Mllt1","MLLT1"
"Cd226","CD226"
"Enc1","ENC1"
"Trex1","TREX1"
"Gid4","GID4"
"Gal3st3","GAL3ST3"
"Fbrsl1","FBRSL1"
"Itpk1","ITPK1"
"Fbln2","FBLN2"
"Lmtk3","LMTK3"
"Kcnn2","KCNN2"
"Gpatch8","GPATCH8"
"Sarm1","SARM1"
"Ltbp3","LTBP3"
"Capn5","CAPN5"
"Dst","DST"
"Itm2c","ITM2C"
"Gramd1b","GRAMD1B"
"Dab2","DAB2"
"Tent4a","TENT4A"
"Rassf2","RASSF2"
"Dcaf7","DCAF7"
"Gm26857","GM26857"
"Pias3","PIAS3"
"Tmem8b","TMEM8B"
"Grin3a","GRIN3A"
"Arf3","ARF3"
"Micall1","MICALL1"
"Trafd1","TRAFD1"
"Prelp","PRELP"
"4930402H24Rik","4930402H24RIK"
"Bag3","BAG3"
"Herpud2","HERPUD2"
"Tulp4","TULP4"
"Dlgap1","DLGAP1"
"Slc12a4","SLC12A4"
"Sdc4","SDC4"
"Ascl1","ASCL1"
"Baz2a","BAZ2A"
"Rnf111","RNF111"
"Fam181a","FAM181A"
"Synj1","SYNJ1"
"Ogdh","OGDH"
"1700030L22Rik","1700030L22RIK"
"F830016B08Rik","F830016B08RIK"
"Shc4","SHC4"
"Foxo1","FOXO1"
"Gm13387","GM13387"
"Espn","ESPN"
"2700081O15Rik","2700081O15RIK"
"Erap1","ERAP1"
"Inppl1","INPPL1"
"Mdc1","MDC1"
"Akap13","AKAP13"
"Pdxk","PDXK"
"Fam189a1","FAM189A1"
"Usp19","USP19"
"Pcdhga1","PCDHGA1"
"Lrrc4","LRRC4"
"Meis1","MEIS1"
"Srrm1","SRRM1"
"Apaf1","APAF1"
"Cdon","CDON"
"Nup98","NUP98"
"Olfr1314","OLFR1314"
"Tmem44","TMEM44"
"Bahd1","BAHD1"
"Rap2a","RAP2A"
"Slc25a35","SLC25A35"
"Rhbdl3","RHBDL3"
"St5","ST5"
"Sorcs2","SORCS2"
"Magee1","MAGEE1"
"Dgki","DGKI"
"Slc24a3","SLC24A3"
"Pcdhgc4","PCDHGC4"
"Adrb1","ADRB1"
"Plekhm3","PLEKHM3"
"Lpp","LPP"
"Soga3","SOGA3"
"Tmem38a","TMEM38A"
"AW011738","AW011738"
"Setd5","SETD5"
"Cebpa","CEBPA"
"Sec24c","SEC24C"
"Nkain3","NKAIN3"
"Gm43847","GM43847"
"Slc4a3","SLC4A3"
"Apol9b","APOL9B"
"Wiz","WIZ"
"Wwc2","WWC2"
"Trarg1","TRARG1"
"Tpbg","TPBG"
"Mfap3l","MFAP3L"
"Tsc22d2","TSC22D2"
"Gm43789","GM43789"
"Med13l","MED13L"
"Pcyox1l","PCYOX1L"
"Lrp4","LRP4"
"Pcsk1n","PCSK1N"
"Trim16","TRIM16"
"Gdi1","GDI1"
"Kdm5b","KDM5B"
"Gm26840","GM26840"
"Zdhhc9","ZDHHC9"
"Brd3","BRD3"
"Ryr2","RYR2"
"Slc27a1","SLC27A1"
"Nr2f1","NR2F1"
"Ppp4r4","PPP4R4"
"Itpr1","ITPR1"
"Megf9","MEGF9"
"Sncaip","SNCAIP"
"Mgat5b","MGAT5B"
"Acer3","ACER3"
"Oas1a","OAS1A"
"Fndc10","FNDC10"
"Gria3","GRIA3"
"Cd80","CD80"
"Ndp","NDP"
"Fstl4","FSTL4"
"Myh10","MYH10"
"Lor","LOR"
"Wwc1","WWC1"
"Syn1","SYN1"
"Fam129b","FAM129B"
"Map3k20","MAP3K20"
"Caskin1","CASKIN1"
"Zfyve28","ZFYVE28"
"Rai1","RAI1"
"Gm45640","GM45640"
"Kcna2","KCNA2"
"Shank2","SHANK2"
"Ephb3","EPHB3"
"Ston2","STON2"
"Gm37925","GM37925"
"Sufu","SUFU"
"Ppp1r13l","PPP1R13L"
"Ehbp1","EHBP1"
"Lin7a","LIN7A"
"Tmem132a","TMEM132A"
"Ogfr","OGFR"
"Zcchc12","ZCCHC12"
"Pcp4l1","PCP4L1"
"Dusp4","DUSP4"
"Mgmt","MGMT"
"Dcaf5","DCAF5"
"Atp2a2","ATP2A2"
"Gm48958","GM48958"
"Ism1","ISM1"
"Gm43196","GM43196"
"Eif4ebp2","EIF4EBP2"
"Fam81a","FAM81A"
"Rapgef4","RAPGEF4"
"Med15","MED15"
"Snx33","SNX33"
"Syn2","SYN2"
"9230114K14Rik","9230114K14RIK"
"Syvn1","SYVN1"
"Gm19032","GM19032"
"Ssc5d","SSC5D"
"Gdpd5","GDPD5"
"Arhgef40","ARHGEF40"
"Anks1b","ANKS1B"
"Rfx1","RFX1"
"Samhd1","SAMHD1"
"Scaf4","SCAF4"
"Jak3","JAK3"
"Mapre3","MAPRE3"
"Cipc","CIPC"
"Klf13","KLF13"
"Gm38062","GM38062"
"Phf12","PHF12"
"Olfml2a","OLFML2A"
"Tmem198b","TMEM198B"
"Prdm2","PRDM2"
"Polk","POLK"
"1700017B05Rik","1700017B05RIK"
"Rxra","RXRA"
"Xist","XIST"
"Spata2","SPATA2"
"Kifc3","KIFC3"
"Ptpn21","PTPN21"
"Auts2","AUTS2"
"Aldh3b1","ALDH3B1"
"Olfr1312","OLFR1312"
"Rere","RERE"
"Ammecr1l","AMMECR1L"
"4930594M22Rik","4930594M22RIK"
"Map1s","MAP1S"
"Morc2a","MORC2A"
"Herc2","HERC2"
"Mex3a","MEX3A"
"Elmo2","ELMO2"
"Gm47621","GM47621"
"Ubc","UBC"
"3930402G23Rik","3930402G23RIK"
"Tox2","TOX2"
"2900092N22Rik","2900092N22RIK"
"Galnt10","GALNT10"
"Slc12a7","SLC12A7"
"Pprc1","PPRC1"
"Gm4951","GM4951"
"Casp12","CASP12"
"Ipo13","IPO13"
"Adgrf2","ADGRF2"
"Apc2","APC2"
"Sdc3","SDC3"
"Pde5a","PDE5A"
"Sf1","SF1"
"Fam222b","FAM222B"
"Iffo1","IFFO1"
"Klhl29","KLHL29"
"Atxn2l","ATXN2L"
"Gm49069","GM49069"
"Nf1","NF1"
"Mast2","MAST2"
"Cep164","CEP164"
"Gatad2b","GATAD2B"
"Pdk2","PDK2"
"Fam160a2","FAM160A2"
"Rapgef1","RAPGEF1"
"Faah","FAAH"
"Apol9a","APOL9A"
"Abhd4","ABHD4"
"Per2","PER2"
"Ctc1","CTC1"
"Hpcal4","HPCAL4"
"Cabin1","CABIN1"
"Notch3","NOTCH3"
"Madd","MADD"
"Syt12","SYT12"
"Ptprf","PTPRF"
"Trim8","TRIM8"
"Pard3b","PARD3B"
"Clstn2","CLSTN2"
"Nr1d1","NR1D1"
"Tnfaip1","TNFAIP1"
"Thbs3","THBS3"
"Tgfb1","TGFB1"
"Hip1","HIP1"
"Cux1","CUX1"
"Dlgap3","DLGAP3"
"Cacna1b","CACNA1B"
"Id4","ID4"
"Ctdsp2","CTDSP2"
"Fzd1","FZD1"
"Miat","MIAT"
"Dusp3","DUSP3"
"Zfp592","ZFP592"
"Slc4a4","SLC4A4"
"Cad","CAD"
"Prkce","PRKCE"
"Rims2","RIMS2"
"Rab6a","RAB6A"
"Triobp","TRIOBP"
"Eps15l1","EPS15L1"
"Smarca4","SMARCA4"
"Car10","CAR10"
"Sema6d","SEMA6D"
"Repin1","REPIN1"
"Stk35","STK35"
"Phf2","PHF2"
"Sfxn3","SFXN3"
"Atf7","ATF7"
"Csmd1","CSMD1"
"Fsd1l","FSD1L"
"Trp53bp1","TRP53BP1"
"Lama3","LAMA3"
"Mdm2","MDM2"
"Ifit1bl2","IFIT1BL2"
"Ap2a1","AP2A1"
"Kif5c","KIF5C"
"Setd7","SETD7"
"Tnfsf18","TNFSF18"
"Pcgf2","PCGF2"
"Arhgef12","ARHGEF12"
"Zfp945","ZFP945"
"Zdhhc8","ZDHHC8"
"Cox6b2","COX6B2"
"Serpinb5","SERPINB5"
"Rab36","RAB36"
"Cmya5","CMYA5"
"Fam43a","FAM43A"
"Grik5","GRIK5"
"Bag6","BAG6"
"Tmem131l","TMEM131L"
"Col22a1","COL22A1"
"Samd14","SAMD14"
"Csdc2","CSDC2"
"Mta1","MTA1"
"Tmc3","TMC3"
"Bptf","BPTF"
"Wfs1","WFS1"
"Sod3","SOD3"
"Lfng","LFNG"
"Zcchc2","ZCCHC2"
"Chrna4","CHRNA4"
"Adamts14","ADAMTS14"
"Spred3","SPRED3"
"Gm6330","GM6330"
"Slc23a2","SLC23A2"
"Enox2","ENOX2"
"Cacng7","CACNG7"
"Ralgapa2","RALGAPA2"
"Aak1","AAK1"
"Trp53inp1","TRP53INP1"
"Rgs12","RGS12"
"Layn","LAYN"
"Zfp512b","ZFP512B"
"Dnm3","DNM3"
"Wdtc1","WDTC1"
"Crtc1","CRTC1"
"Npas3","NPAS3"
"Abcc12","ABCC12"
"Zhx3","ZHX3"
"Mmp28","MMP28"
"Disp2","DISP2"
"Phyhipl","PHYHIPL"
"Fn1","FN1"
"Zfp467","ZFP467"
"Slc12a9","SLC12A9"
"Ankrd11","ANKRD11"
"Hpcal1","HPCAL1"
"Erbb2","ERBB2"
"Gnao1","GNAO1"
"Numa1","NUMA1"
"Unc13b","UNC13B"
"Tnks1bp1","TNKS1BP1"
"Wasf2","WASF2"
"Ifi47","IFI47"
"Fasn","FASN"
"Ccl7","CCL7"
"Smox","SMOX"
"Fgfr1","FGFR1"
"Zfhx2","ZFHX2"
"Plxna3","PLXNA3"
"Pdgfc","PDGFC"
"Prr7","PRR7"
"Tln1","TLN1"
"Me3","ME3"
"Myo9b","MYO9B"
"Kat6a","KAT6A"
"Sgpl1","SGPL1"
"Fbrs","FBRS"
"Nrp1","NRP1"
"Plekha7","PLEKHA7"
"Pde1a","PDE1A"
"Brd2","BRD2"
"Setbp1","SETBP1"
"Col5a3","COL5A3"
"Wdr6","WDR6"
"Srgap3","SRGAP3"
"Gm26780","GM26780"
"Spon1","SPON1"
"Ptprd","PTPRD"
"Spred1","SPRED1"
"Tgfbr2","TGFBR2"
"Ctnnal1","CTNNAL1"
"Nhsl2","NHSL2"
"Chst2","CHST2"
"Etv5","ETV5"
"Trp53inp2","TRP53INP2"
"C2cd2","C2CD2"
"Colec12","COLEC12"
"Pkd2l2","PKD2L2"
"Lrp11","LRP11"
"Top3b","TOP3B"
"Tshz3","TSHZ3"
"Fryl","FRYL"
"Dock5","DOCK5"
"Purb","PURB"
"Pcnx","PCNX"
"Myo10","MYO10"
"Tmem88b","TMEM88B"
"Grin2b","GRIN2B"
"Parva","PARVA"
"Comt","COMT"
"Malat1","MALAT1"
"Zfp36l2","ZFP36L2"
"Lrp1","LRP1"
"Mdga2","MDGA2"
"Egfros","EGFROS"
"Frmd3","FRMD3"
"Gpr162","GPR162"
"Fscn1","FSCN1"
"Mycl","MYCL"
"Tspan17","TSPAN17"
"Sall1","SALL1"
"Fgd1","FGD1"
"Calcoco1","CALCOCO1"
"Ehd4","EHD4"
"Tmtc4","TMTC4"
"Ldb1","LDB1"
"Elmo1","ELMO1"
"Ralgps1","RALGPS1"
"Ccnd3","CCND3"
"Natd1","NATD1"
"R3hdm2","R3HDM2"
"Pld3","PLD3"
"Atxn1","ATXN1"
"Kcnq3","KCNQ3"
"Metrn","METRN"
"Megf8","MEGF8"
"Ar","AR"
"Tbc1d2b","TBC1D2B"
"Atg2a","ATG2A"
"Thbs1","THBS1"
"Acad11","ACAD11"
"Smg7","SMG7"
"Alox5","ALOX5"
"Nup214","NUP214"
"Gpam","GPAM"
"Hdac5","HDAC5"
"Cyfip2","CYFIP2"
"Ptprg","PTPRG"
"Phf11d","PHF11D"
"Sema5b","SEMA5B"
"Ccdc162","CCDC162"
"Sik2","SIK2"
"Slc7a11","SLC7A11"
"Mtor","MTOR"
"Kmt2e","KMT2E"
"Zyx","ZYX"
"Mx1","MX1"
"Amot","AMOT"
"Tgfb2","TGFB2"
"Tnfrsf19","TNFRSF19"
"Arhgap35","ARHGAP35"
"Ildr2","ILDR2"
"Pcnx3","PCNX3"
"Cdh26","CDH26"
"5430425E15Rik","5430425E15RIK"
"Pls3","PLS3"
"Vangl2","VANGL2"
"Vwa8","VWA8"
"Pum1","PUM1"
"Ap3m2","AP3M2"
"Zhx2","ZHX2"
"Fam214b","FAM214B"
"Szt2","SZT2"
"Lamb2","LAMB2"
"Styk1","STYK1"
"Lrrc28","LRRC28"
"Smad3","SMAD3"
"Scaf1","SCAF1"
"Jag1","JAG1"
"Sox13","SOX13"
"Ckb","CKB"
"Ssh1","SSH1"
"Slc29a3","SLC29A3"
"Sox3","SOX3"
"Pqlc3","PQLC3"
"Parp3","PARP3"
"Trdn","TRDN"
"Tril","TRIL"
"B230334C09Rik","B230334C09RIK"
"Mylk","MYLK"
"Eif4g1","EIF4G1"
"Astn1","ASTN1"
"C2cd3","C2CD3"
"Mark2","MARK2"
"Zfp362","ZFP362"
"Foxk1","FOXK1"
"Mab21l3","MAB21L3"
"Mink1","MINK1"
"Ttyh3","TTYH3"
"Brpf3","BRPF3"
"Git1","GIT1"
"Slc43a2","SLC43A2"
"Slc27a3","SLC27A3"
"Grina","GRINA"
"Aldh1l1","ALDH1L1"
"Fgfr2","FGFR2"
"Mlc1","MLC1"
"Usp6nl","USP6NL"
"Zfand3","ZFAND3"
"Hdac4","HDAC4"
